"Content","Location","Image_URL","Post_date","Likes","IsVideo","Views"
"Our NEW micellar water with rose water and glycerin packs a one - two punch when it comes hydration and cleansing. Make-up removing has never looked or smelled so appealing! 💕#skincare #waterrose #rose #micellar #skinactive #garnier",,"https://scontent-iad3-1.cdninstagram.com/vp/f6ef3690758a746fdaa83b6d9ccbb08d/5E57464D/t51.2885-15/fr/e15/s1080x1080/73287718_183172396069429_7475812491533444050_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101","Nov 5, 2019","1,159","False",
"Sundays aren't just for skincare! Cozy up to this Sleek squad to get you geared up for tomorrow. No #sundayscaries when you have a good hair day on deck. 💚#shampoo #conditioner #sleek #straighthair #sleekandshine #haircare #fructis #sundays",,"https://scontent-iad3-1.cdninstagram.com/vp/23860f1c4d38c3f176b984584f5d5ee7/5E50FCB0/t51.2885-15/fr/e15/p1080x1080/74647524_2731469473746610_7093053306069996705_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110","Nov 3, 2019","1,692","False",
"ACTION NEEDED: Help us make a difference in a child's life today!  For every 💙 commented on *THIS* post featuring the Whole Blends x UNICEF Holiday Kits, Garnier will make a $1 donation (up to $10,000) to @UNICEFUSA to help educate 1 child in an emergency situation for 1 week.  Donation period is from 10:00 AM EST to 10:00PM EST on November 4, 2019.  No purchase necessary. For more information please visit the link in bio. #garniersupportsunicef",,"https://scontent-iad3-1.cdninstagram.com/vp/a6c2ab6ac273ceffd3ae397873ec601e/5E61D346/t51.2885-15/fr/e15/s1080x1080/74642773_767406433774391_3952455438312384165_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111","Nov 4, 2019","3,627","False",
"This #GrowStrong duo is our mighty go-to for making every inch of hair stronger with Apple Extract and Ceramide-- which fortifies hair. Did we mention it smells delish!? Comment a 🍏 if you're in on this best-kept-secret.#shampoo #fructis #conditioner #growstrong #appleseason #apple",,"https://scontent-iad3-1.cdninstagram.com/vp/734ec433ad2d0647df83309d65d5be30/5E418B75/t51.2885-15/fr/e15/s1080x1080/74428121_548596059240221_2711885034593088895_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105","Nov 2, 2019","870","False",
"Staying in to mask tonight? We don't blame you. Might we recommend our Ultra Clean 3-in-1? This bad boy can be used as 1. a face wash 2. a scrub 3. face maskLet this do the hard work while you work hard on getting through that show you're binging. 🖤 #skincare #masking #fridaynight #skinactive #garnier #charcoal",,"https://scontent-iad3-1.cdninstagram.com/vp/611d7613b8c625039c2a13600397ff20/5E522534/t51.2885-15/fr/e15/s1080x1080/72283812_471461536792206_3926806794581906528_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=106","Nov 1, 2019","1,104","False",
"Brr the temperature might be dropping, but keep the summer vibes going with #WholeBlends Hydrating with #coconutwater and vanilla milk extracts. Drop a 🥥 if you love this blend!-#ourblend #blendedmakesusbetter #vanilla #blendedingredients #coconutwater #haircare #hair #instaair #healthyhair #hairgoals #vacation #beachdays",,"https://scontent-iad3-1.cdninstagram.com/vp/bff8a14828ac7b0a2710447d4523c461/5E4EABF3/t51.2885-15/fr/e15/p1080x1080/75580655_851297648619464_5247511069520425902_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108","Oct 31, 2019","1,034","False",
"ATTENTION➡️ witches🧙🏼‍♀️, fairies, mermaids🧜🏼‍♀️, and other creatures. At the end of the witching hour, reach for Micellar Water Waterproof to remove ALL stubborn makeup without any harsh rubbing 💧. Happy #Halloween 🎃-#halloween #halloween2019 #happyhalloween #micellarwater #beauty #makeup #cleanser",,"https://scontent-iad3-1.cdninstagram.com/vp/5f222c4648fef69d49e2711e3bc03c93/5DC4A858/t50.2886-16/77235161_924369491266830_542096264799945506_n.mp4?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=106","Oct 31, 2019",,"True","11,657"
"You can only pick one:💙Micellar Blue💖Micellar Pink⭐️Other-#skincare #skin #micellarwater #cleanser #beauty #makeup",,"https://scontent-iad3-1.cdninstagram.com/vp/ff1a1f7985acc52c2ef4f7bb0a3731cb/5E5E4AE6/t51.2885-15/fr/e15/s1080x1080/72753728_3053650111371730_1847138579449826518_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110","Oct 30, 2019","1,304","False",
"Three is better than one! Comment with your favorite #Fructis Curl Treat1️⃣Smoothie2️⃣Jelly3️⃣Butter-#CurlTreats #curlyhair #curls #curlyfriends#haircare #hair #instahair #hairinspo",,"https://scontent-iad3-1.cdninstagram.com/vp/3ba26670bc3bad68d842dce06a26beb7/5E633190/t51.2885-15/fr/e15/p1080x1080/74682958_161354344953098_2104800972703215050_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102","Oct 29, 2019","1,251","False",
"#CurrentObsession: #Fructis Curl Nourish✔️ Best for: curly hair✔️Tames frizz and strengthens curls✔️ Sulfate-Free and Paraben-Free-#curls #curly #curlfriends #curlyharcare #hair #instahair #hairinspo #Fructis",,"https://scontent-iad3-1.cdninstagram.com/vp/72263a854b1314416dfdd16457bca3c2/5E55FD6F/t51.2885-15/fr/e15/p1080x1080/73512716_167046611034926_6444736515994011880_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102","Oct 29, 2019","1,651","False",
