"Category","Keyword","Web_Page_URL","Tweet_Website","Author_Name","Author_Web_Page_URL","Tweet_Timestamp","Tweet_Content","Tweet_Image_URL","Tweet_Video_URL","Tweet_Number_of_Likes","Tweet_Number_of_Retweets","Tweet_Number_of_Reviews","Commenter_Name","Commenter_Web_Page_URL","Comment_Timestamp","Comment","Comment_Number_of_Replies","Comment_Number_of_Retweets","Comment_Number_of_Likes","User_Name","User_Web_Page_URL","User_Timestamp","User_Content","User_Number_of_Replies","User_Number_of_Retweets","User_Number_of_Likes"
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/SamBhatt17/status/1191704401762668544","Sam Bhatt 2.0 🇮🇳","https://twitter.com/SamBhatt17","1572959444","Mr Ghafoor you are in a #FantasyLand. By the time you wake up u will definitely need some hair dye. https://twitter.com/peaceforchange/status/1191665606342455296 …",,,,,,,,,,,,,,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/mullethomo/status/1191698328356044801","god's little bastard","https://twitter.com/mullethomo","1572957996","hair dye companies be like our customers have tiny little women hands uwu just the smallest little frail things uwu 0.5cm fingewr uwu tiny babby gloves uwu",,,,,"1","god's little bastard","https://twitter.com/mullethomo","1572958029","MY HEFTY MEAT SACKS RIP THROUGH YOUR TINY SHITTY GLOVES EVERY TIME AND IM SICK OF IT","0","0","0",,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/_shutupdaisy/status/1191696948081909762","spooky daisy  🌼 🎃","https://twitter.com/_shutupdaisy","1572957667","Hair dye suggestions please. pic.twitter.com/KcBCGAlyZk","https://pbs.twimg.com/media/EInCDjbXYAAAFjV.jpg",,,,,,,,,,,,,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/loveejoonie/status/1191691889084289026","dy 🥀","https://twitter.com/loveejoonie","1572956461","i talked about how i’m looking for dark blue hair dye and this bitch really,,, pic.twitter.com/KUuDZpP9wL","https://pbs.twimg.com/media/EIm9cu5UwAAlK9Z.jpg",,,,,,,,,,,,,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/Chickimmm/status/1191690956728422400","Anxious binch","https://twitter.com/Chickimmm","1572956239","My birthday week, amma spoil myself to a new piercing and maybe a temporary hair dye. Wanna switch it up ya know?",,,"1",,,,,,,,,,,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/MeganMarieBanda/status/1191686806095507456","Megan Marie Banda","https://twitter.com/MeganMarieBanda","1572955249","I was getting color prep to remove my hair dye and I find this! Haha! pic.twitter.com/fnklvJk3ZV","https://pbs.twimg.com/media/EIm41LmXkAIZjwO.jpg",,,,,,,,,,,,,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/aktualnosci24/status/1191682180596023296","Aktualności 24","https://twitter.com/aktualnosci24","1572954146","Tricks to Making At-Home Hair Dye Look Professional http://www.aktualnosci24.com/wideo/obejrzec/tricks-to-making-at-home-hair-dye-look-professional/885375-aktualnosci24 …pic.twitter.com/HnL7wv1cY1","https://pbs.twimg.com/media/EIm0oJ0XYAAP3YE.jpg",,,,,,,,,,,,,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/dst_robin/status/1191681664122011649","RobinStewartDST","https://twitter.com/dst_robin","1572954023","Orange hair dye and clown make-up...",,,,,"1","RobinStewartDST","https://twitter.com/dst_robin","1572954201","Next job will be with @RinglingBros!!","0","0","0",,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/thatgirldorian/status/1191678242404667392","Debbie","https://twitter.com/thatgirldorian","1572953207","Where can I get maroon hair dye for natural hair?Point me to a Twitter account or website, please.",,,"1","1",,,,,,,,,,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/souljaboybebop/status/1191677952586665984","millie bobby shmurda","https://twitter.com/souljaboybebop","1572953138","hayley williams did not influence a whole generation of girls to dye their hair orange using manic panic for her own hair dye line to cost $20 a product https://twitter.com/brickredroorn/status/1191147080972193793 …",,,"5",,,,,,,,,,,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/ZahraTheRaichu/status/1191658628312391680","¢αℓℓ мє zαняα","https://twitter.com/ZahraTheRaichu","1572948531","My life has gotten to the point where I'm gonna go buy myself hair dye",,,"1",,,,,,,,,,,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/SwitcherAndy/status/1191655765792231424","Andy Switcher","https://twitter.com/SwitcherAndy","1572947849","but enough money for hair dye?",,,,,"2","Golf Ninja","https://twitter.com/Golf_Ninja","1572947974","One for your followers that one mate. Classic.","0","0","0",,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/SwitcherAndy/status/1191655765792231424","Andy Switcher","https://twitter.com/SwitcherAndy","1572947849","but enough money for hair dye?",,,,,"2","Kenny Witter","https://twitter.com/kgtwitt06","1572952071","You heartless basket.","0","0","0",,,,,,,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/_starsthatburn/status/1191648527610470400","helen cooper, mayor of whoreville  ✨","https://twitter.com/_starsthatburn","1572946123","Thrilled to report that the 10-wash hair dye I used five months ago has nearly come out and now I only look like a swamp monster with regards to my face rather than my rancid green tips  pic.twitter.com/sdaZp5tfjt","https://pbs.twimg.com/media/EImWBNBXkAAhYvS.jpghttps://pbs.twimg.com/media/EImWBNEWkAAdsmr.jpghttps://pbs.twimg.com/media/EImWBNCX0AET3P5.jpghttps://pbs.twimg.com/media/EImWBNBWoAE6Sd8.jpg",,"21",,"1","courtney hope  🍂","https://twitter.com/courtneyhope_","1572956626","Swamp monster? I only see a stunning supermodel but okay, go off I guess.","1","0","1","helen cooper, mayor of whoreville  ✨","https://twitter.com/_starsthatburn","1572957619","Okay but tbf, you're a dope","1",,
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/_starsthatburn/status/1191648527610470400","helen cooper, mayor of whoreville  ✨","https://twitter.com/_starsthatburn","1572946123","Thrilled to report that the 10-wash hair dye I used five months ago has nearly come out and now I only look like a swamp monster with regards to my face rather than my rancid green tips  pic.twitter.com/sdaZp5tfjt","https://pbs.twimg.com/media/EImWBNBXkAAhYvS.jpghttps://pbs.twimg.com/media/EImWBNEWkAAdsmr.jpghttps://pbs.twimg.com/media/EImWBNCX0AET3P5.jpghttps://pbs.twimg.com/media/EImWBNBWoAE6Sd8.jpg",,"21",,"1","courtney hope  🍂","https://twitter.com/courtneyhope_","1572956626","Swamp monster? I only see a stunning supermodel but okay, go off I guess.","1","0","1","courtney hope  🍂","https://twitter.com/courtneyhope_","1572957656","Hey, youuuuu are the idiot who decided to date me. So remind me again who the dope is?","1",,"1"
"Top","hair dye","https://twitter.com/search?q=hair%20dye&src=typd","https://twitter.com/_starsthatburn/status/1191648527610470400","helen cooper, mayor of whoreville  ✨","https://twitter.com/_starsthatburn","1572946123","Thrilled to report that the 10-wash hair dye I used five months ago has nearly come out and now I only look like a swamp monster with regards to my face rather than my rancid green tips  pic.twitter.com/sdaZp5tfjt","https://pbs.twimg.com/media/EImWBNBXkAAhYvS.jpghttps://pbs.twimg.com/media/EImWBNEWkAAdsmr.jpghttps://pbs.twimg.com/media/EImWBNCX0AET3P5.jpghttps://pbs.twimg.com/media/EImWBNBWoAE6Sd8.jpg",,"21",,"1","courtney hope  🍂","https://twitter.com/courtneyhope_","1572956626","Swamp monster? I only see a stunning supermodel but okay, go off I guess.","1","0","1","helen cooper, mayor of whoreville  ✨","https://twitter.com/_starsthatburn","1572957723","Still you!!","1",,"1"
