"Video_Title","Video_Link","Channel_Name","Channel_Link","Total_Views","Publish_Date","Description"
"How to Dye Hair at Home (Coloring Tips & Tricks)","https://www.youtube.com/watch?v=wpFDCsso-pQ","Bebexo","https://www.youtube.com/user/bebexo","3.2M views","4 years ago","Hey guys, in this hair dye tutorial, I will show you how to color your hair at home using drugstore box dye kits. These kits are ..."
"how to dye your hair like a pro","https://www.youtube.com/watch?v=p5KoEWaVSjo","cjades","https://www.youtube.com/channel/UC9JU9GLA8PEB28Toy1L3_6w","421K views","9 months ago","quitting youtube to become a hair dresser i dyed my hair again lol [ https://youtu.be/58tCOvI-Jt8 ] ..."
"How To Color Your Hair At Home | Quick & Effortless","https://www.youtube.com/watch?v=J5xNIJlfBAw","Glamrs","https://www.youtube.com/user/GLAMRSTV","2.7M views","3 years ago","Learn how you can easily colour your hair at home, with this step-by-step tutorial using GODREJ EXPERT RICH CRÈME.With so ..."
"How to Dye Men's Hair at home | DIY | Men's Hairstyle tutorial","https://www.youtube.com/watch?v=svSQVuhFjCU","Dre Drexler","https://www.youtube.com/user/dredrexler","2.3M views","4 years ago","Hey everyone! I wanted to show you guys some great tips and tricks that will benefit you when dying your hair at home. A lot of you ..."
"What Color Should You Dye Your Hair?","https://www.youtube.com/watch?v=K2XvTTtiEB0","1 Million Tests","https://www.youtube.com/channel/UCijjpfm0MvYAacCXopzBr5Q","1.8M views","5 months ago","Have you already thought about dying your hair? Do you already know what color you want or are you still hesitating?"
"HOW TO: DIY BALAYAGE+OMBRE HAIR TUTORIAL AT HOME - FROM DARK TO BLONDE","https://www.youtube.com/watch?v=zxuVLBhcc28","Mariam Issa","https://www.youtube.com/channel/UCTqerQJY-fcgRd3-GqAzF4g","1M views","11 months ago","PLEASE SUBSCRIBE TO MY CHANNEL. ALSO, DON'T FORGET TO PRESS ON THE BELL BUTTON TO RECEIVE ..."
"COLORFUL HAIR IDEAS THAT ARE SO COOL","https://www.youtube.com/watch?v=yYMy-YWuAlk","Now I've Seen Everything","https://www.youtube.com/channel/UCPeW45oXPao55eyAYOOj7lw","22M views","12 months ago","Looking for new ideas to refresh your hair? Watch this amazing compilation of hair transformations to colorful styles, and you'll ..."
"How To Color Your Hair At Home - Home Hair Dye Tips And Tricks","https://www.youtube.com/watch?v=-UiHAiLJX_c","The Style Insider","https://www.youtube.com/channel/UCcjVGHwHYVOkuvNEX2UH11Q","596K views","2 years ago","How To Color Your Hair At Home - Home Hair Dye Tips And Tricks I've been colouring my own hair at home for years now and it's ..."
"HOW TO DYE YOUR HAIR WITHOUT BLEACH (VERY EASY)","https://www.youtube.com/watch?v=0seUQWpdfqA","IBIRONKE","https://www.youtube.com/channel/UCMhpqfogYFD51E6l9RLDrtA","819K views","8 months ago","I hope you enjoyed the video ! Make sure you SHARE, LIKE, COMMENT & SUBSCRIBE FOR MORE VIDEOS!!! FOLLOW ME ON ..."
"How I dye my mom's hair AT HOME!","https://www.youtube.com/watch?v=SpaKjlyA0l4","Alexa Bowen","https://www.youtube.com/channel/UCyGIY1nhYv3yaUYTVmK4F7w","824K views","5 years ago","IMPORTANT TIPS FOR PRE-WASHING AND POST-WASHING THE HAIR: Color sits on the hair better when it is UN-washed."
