"Content","Location","Image_URL","Post_date","Likes","IsVideo","Views"
"❄️The wait is over...OUR FROST COLLECTION IS BACK!❄️🤍4 pearly pastel shades with silver undertones and glittering natural mica for a stunning sparkle✨🤍Limited Edition!🤍Shop now at www.lunartideshair.com❄️",,"https://scontent-iad3-1.cdninstagram.com/vp/ebd6cf145b09a88f15fd0cdb67078cd2/5E57F649/t51.2885-15/e35/72786286_1115503611986464_1229471145250511284_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104","Nov 5, 2019","11,361","False",
"TwoTONE Blue and Red 💙💙♥️♥️ by artist @evelina.forsell・・・ ・・・🔥💁🔥👩‍🔬🎨👨‍🔬🦋FOLLOW @hair_color_clique 🍭🍭🍭🦋LOVE @hair_color_clique 🍫🍫🍫",,"https://scontent-iad3-1.cdninstagram.com/vp/55306221b6b14b3c4d65dddc98ad157a/5DC8143A/t50.2886-16/75610537_539378163509319_7959680022611883432_n.mp4?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=103","Nov 7, 2019",,"True","141,356"
"Transforming to RED ♥️♥️♥️ by  @hiltonsophia at @notanothersalon ・・・🔥💁🔥👩‍🔬🎨👨‍🔬🦋FOLLOW @hair_color_clique 🍭🍭🍭🦋LOVE @hair_color_clique 🍫🍫🍫",,"https://scontent-iad3-1.cdninstagram.com/vp/efd86af52b54c31983f524699605a963/5DC80F15/t50.2886-16/77386886_176386110131936_2049556650883619651_n.mp4?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108","Nov 8, 2019",,"True","18,430"
"TwoTONE Braided Pony Tails 🥶🥶💗💗 by @charity.grace・・・🔥💁🔥👩‍🔬🎨👨‍🔬🦋FOLLOW @hair_color_clique 🍭🍭🍭🦋LOVE @hair_color_clique 🍫🍫🍫",,"https://scontent-iad3-1.cdninstagram.com/vp/db943c2d7899bb09aa3ce6b4f7e5f7da/5DC7D4C3/t50.16885-16/10000000_619540318582648_7833045233927646263_n.mp4?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104","Nov 7, 2019",,"True","105,360"
"1 or 2?! 🌈 By @sarahlouiseporterxo !..To be featured tag us @belrosebeauty & #belrosebeauty !....#belrosebeauty #hairtransformation #hairgoals #pinkhair#hairstyle #hairtutorial #hairdye #haircolor #makeupvideos #makeuptutorials #manicpanic #highlights #arcticfox #easyhairstyles #hair #shorthairstyles #hairstylist #hairvideos #haircut #hairstyles #bluehair #rainbowhair #hairdye #dyedhair #greenhair #hairinspo #purplehair",,"https://scontent-iad3-1.cdninstagram.com/vp/27fd5d8d9df42c56a82e8dcf2564896c/5DC7D1B0/t50.2886-16/73207336_487835538479670_3102818645842428840_n.mp4?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=106","Nov 6, 2019","16,485","True",
"Beautiful , agree ? ♥️ Credit 📸 : @ send us DM please ♥️ Comment below 👇 @fashion___boom",,"https://scontent-iad3-1.cdninstagram.com/vp/c75c08bd8a1ab8af9e8cdca12a7c158a/5E5EB2A8/t51.2885-15/e35/s1080x1080/72421696_198684464480639_3202987798163670566_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111","Nov 6, 2019","1,325","False",
"What’s your favorite pie flavor? I love chocolate pie!.✖this photo belongs to @delaney.biel ✖️.🍇THEME: purple hair 🍇.#alternative #alternativegirl #alternativegirls #alternativehair #scene #scenegirl #scenegirls #scenehair #emo #emogirls #emogirl #emohair #piercings #tattoos #dyedhair #colorfulhair #goth #girlswithtattoos  #girlswithpiercings #girlswithdyedhair #girlswithplugs #bodymods #hairdye #purplehair #coloredhair",,"https://scontent-iad3-1.cdninstagram.com/vp/4f14670cb4f8875178c5916500ab6cd8/5E53ADBF/t51.2885-15/e35/72299815_541309366445580_4356873203646244149_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=100","Nov 7, 2019","2,560","False",
"Beautiful #hairstyle 💕 Do you agree? Send DM for credit💕",,"https://scontent-iad3-1.cdninstagram.com/vp/2d1b1de8f10f798e937fa8891cd487e2/5E51B2CE/t51.2885-15/e35/p1080x1080/74950912_556649775164570_9164686298461026596_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=1","Nov 7, 2019","2,184","False",
"Follow my main @foreignhiba) to get posted you must be following me on both accounts--@l.llin_-#onmyblock #cute #edgesonfleek #hairdye #edgeslaid #satifyingvideos #satisfying #edges #edgeslaid #got2bglued #gorillasnotgel #edgesonfleek #flexinedges #fleeky #babyhairsonfleek #bun #slickponytail #slickbun #tutorial #straighthair #edgestutorial #hairstyles #babyhairs #natural #naturalhairstyles #gel #teamnaturalhair #music #explorepage #hairgel #hairgrowth #durag.",,"https://scontent-iad3-1.cdninstagram.com/vp/4cd0d46090a11aa036efad33af286120/5DC795FD/t50.2886-16/74372652_2141311436164973_5789576462348056003_n.mp4?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105","Nov 5, 2019",,"True","19,593"
"good morning there is snow on the ground and I am unhappy ---#selfie#blondehair#canadian#cold#wintercoat#hairdye#dyedhair#makeup#freckles#fakefreckles#noedit#nofilter#piercings#septum#hashtag",,"https://scontent-iad3-1.cdninstagram.com/vp/840b63860c6dc170dd60d615d117225b/5E3EBC2C/t51.2885-15/e35/77062169_173185760415032_847181450942513893_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108","Nov 8, 2019","2","False",
