"","tweet"
"1","Are you getting the most life out of your box hair dye?https://rach.tv/2BTPqEc "
"2","how do you get rid of hair dye https://twitter.com/millieknight333/status/1185697425605955584 …"
"3","i just need to get:- sword- hair dye- cool forehead scar pic.twitter.com/l32XKAZpY2"
"4","Chan: wait what who stole my hair dyeStays:pic.twitter.com/7p4A0t9VZs"
"5","sad. hitting the hair dye aisle"
"6","just waiting for that post hair dye regret to hit pic.twitter.com/sUWfDV54um"
"7","You've lost all your hair trying to be a fine boy...And you use hair dye to over it upI'm so sad for you https://twitter.com/OsazeAkil/status/1180537352210567168 …"
"8","If i could steal hair dye i would"
"9","for halloween i decided to get white hair dye and dress up as my biggest fear: getting old and growing up, so sorry fellow kids i need to go to work and do my taxes pic.twitter.com/yyEJfgQQqW"
"10","I've tried for an hour and cant get this hair dye off my hands. Looks like I choked Barney  pic.twitter.com/l2kQtrBlMd"
"11","i bought hair dye but i have to wait until tmrw to do it myself or make my mom do it bc my hand is too swollen pic.twitter.com/2q6ufJcInK"
"12","Frantically googling how to get hair dye out of my scalp and face at 11pm is exactly how I planned this evening to go."
"13","Hair dye hands make a nice bloodstain  pic.twitter.com/vbBrdtUqdW"
"14","Who knew all I needed for my glow-up was a £5 box of hair dye!!! pic.twitter.com/cRYdaABlFB"
"15","Is that hair dye getting into Lou’s brain? Is it giving him the dumbs?"
"16","Cool Breeze: Hair Dye vs Blow Dry@Priyascorner |https://www.sundayguardianlive.com/opinion/cool-breeze-hair-dye-vs-blow-dry …"
"17","I found pink hair dye and I’m struggling to resist the temptation"
"18","*The second October 1st hits* Us mixing up our hair dye: pic.twitter.com/MSXdWpC8g9"
"19","Does make-up, hair dye and fake tits count as lying?"
"20","Broken fingers... A giant needle through the FACE. Why does everything I do make it look like I'm trying to torture my caw? As if the constant crashes and disappearing hair dye weren't already enough to make me afraid to try anything  #FixWWE2K20pic.twitter.com/hH9dwRZ1i6"
"21","""Dear Noah, indications are very strong that the Antifa super soldiers have the town surrounded. I fear that I can't make it to Walmart to get blond hair dye and my roots are showing. Young Jaxtyn is upset that we cannot get to ChickfilA."" #CivilWar2"
"22","gays buying hair dye during a mental breakdown thinking it will fix their problems  pic.twitter.com/T0R960LlR9"
"23","Zuck goes to congress w/a fresh hair dye, fumbles in front of officials, social media laughs & questions his intelligence.  He goes back home. You go back on IG, making him richer. You click on ads ran through his servers, making him richer.  Who's the joke again"
"24","Arty said it's MY mental breakdown and I get to choose the HAIRDYE pic.twitter.com/sA4k28ZZdf"
