"","tweet"
"1","I love astrologypic.twitter.com/bVGgCgfK4P"
"2","my mom just handed me cute hairdye............thinking..... pic.twitter.com/KMDDOBuJGj"
"3","But I love them so muchpic.twitter.com/zPcphj84xM"
"4","Come out on October 29th to learn about how to safely dye your natural hair! There will also be an opportunity to experiment with temporary hair dye wax! pic.twitter.com/dvoFX2PAOZ"
"5","Hair dye hands make a nice bloodstain  pic.twitter.com/vbBrdtUqdW"
"6","Tweet, when you come back with some sense, and not boxed hair dye."
"7","HerbHush Root Hair Oil, a complete natural hair care solution! Absolute miracle for softness, thickness and shining in your hair. Nourishes & provides nutrients to your scalp Repair Hair Damage By Hair Dye, Sun Rays & Pollution Natural solution - NO side effects! pic.twitter.com/oF5A8xrTdJ"
"8","I'M THE ONLY FRIEND THAT MAKES YOU CRY YOU'RE A HEART ATTACK IN BLACK HAIR DYE SO JUST SAVE YOURSELF AND I'LL HOLD THEM BACK TONIGHT"
"9","Give this man a green hair dye.#HappyJokingHalloween#Jokerpic.twitter.com/VbznYtX2WL"
"10","like for an indirect, mutuals on please. im just bored and my hair dye has to sit for 30 mins"
"11","i shouldn’t be allowed to be home alone or to buy hair dye pic.twitter.com/L7z3nedAsa"
"12","has he stopped using hair dye for good GOOD? im going to go feraldbdbdbbsns!!!!! pic.twitter.com/0j6u3EwZiy"
"13","“YOU ARE SHORT JUST LIKE MS. HUSEMAN!!!!” True. “WHY IS YOUR HAIR YELLOW IF HERS IS BROWN.” Hair dye, my man."
"14","Well, since the pink hair dye didn't work for @ValeFuchs during the charity stream, I thought I'd help. #art #furryartpic.twitter.com/AM0nFkf7Di"
"15","when you have extra hair dye so you give them to your friends pic.twitter.com/kIuUPUcCLC"
"16","that tattoo needle and hair dye sounding really good right about now"
"17","y’all ever just buy rose gold hair dye for fun on a sunday afternoon and dye ur hair??? no just me?????? cool pic.twitter.com/S5Kl5lg9JA"
"18","Zuck goes to congress w/a fresh hair dye, fumbles in front of officials, social media laughs & questions his intelligence.  He goes back home. You go back on IG, making him richer. You click on ads ran through his servers, making him richer.  Who's the joke again"
"19","someone give him a black hair dye PLEASE"
"20","someone get scott blond hair dye as their meet and greet gift"
"21","I wonder where she thinks her hair dye comes from? pic.twitter.com/JchCfg8fRr"
"22","I got offered a hair dye sponsorship today and turned it down cuz I fo to the salon.. they followed up with I could basically pretend I use their hair color and not actually use it at all Can you imagine?!?!!! Please tell me ppl don’t actually do this.."
"23","Hewo I'm a new NSFW account and I would like some mutuals (<U+02F6><U+203E><U+1DC4> <U+207B><U+032B> <U+203E><U+1DC5><U+02F5>)Here's some Information about me!•switch •bisexual(I really prefer girls tho)•15/minor•she/her•I like kpop and anime•plz I need friends •hair dye connoisseur <U+2661> for dm/<U+21BB> for mutual"
"24","That's all I could get done without the game crashing the hair dye is fucked up because of this game. Not hoping back on 20 til they patch it again back to 19 I go.  pic.twitter.com/0yA0W9kKxG"
"25","every idol just looks better with black hair im going to lock them all up with black hair dye in their hands and let them out once they go back to their roots  https://twitter.com/emoblackthot/status/1117549523948195842/video/1 …"
"26","In 2016 we used to joke Momo was a natural blonde jokes on us she told us to fuck off and hasn’t touched hair dye since..."
"27","After nine years of contacts and hair dye, Neil finally had his natural coloring back."
"28","When will Republicans understand Paul Manafort as the metaphor for where slavish loyalty to Trump leads - gout-stricken and locked up in Rikers without access to hair dye and Bijan suits? pic.twitter.com/OA9abHZTZM"
"29","It’s not even dark and Hyukjae’s hair is STILL glowing WHAT KINDA MAGIC HAIR DYE DID THE HAIRDRESSERS USE FOR HIS HAIR TO BE SO DAMN BRIGHT IM CRYING pic.twitter.com/yF77ZcJRK5"
"30","Today I made a special trip to Walgreens just for chocolate and hair dye so yeah I know something about self care."
"31","Should I just go full coraline and get blue hair dye?"
"32","Ok so now I just need skin paint and hair dye and I’m good! Happy Halloween fellow Spinel stans!  pic.twitter.com/xDtBCzWU1w"
"33","so i just ordered hair dye and i think i MIGHT be having an episode"
"34","YALLLL THIS HAIR DYE IS PRETTY BUT WONT COME OFF MY FOREHEAD SALLYS IS CLOSED I CAN NOT GO GET THE LIL WIPED SUGGESTIONS PLS I HAVE WORK AND A SUPER IMPORTING MEETING IN THE MORNING pic.twitter.com/Hp5H2OuLq1"
"35","I got two unintentional compliments this month that, as an old bitch, I’m QUITE proud of:1. A dear friend complimented my new dark hair dye, except this is my natural hair color 2. A white woman said “wait until you hit your 30s” and I said “I’m 37” and she was like WHAT"
"36","Justin's makeup and hair dye as well as some cuddle toys."
"37","used my period blood as hair dye call that a bloodayage"
"38","Do fursonas with tattoo actually Have tattoo or is it just hair dye?"
"39","191013 Ode to You AichiHoshi: looks like woozi prepared a magic trick for usWoozi: *wipes his hair w/tissue paper then acts to show off like a magic trick*it comes out redlol..his hair dye is coming off like THAT..cr.bowwow_km"
"40","Where can I get maroon hair dye for natural hair?Point me to a Twitter account or website, please."
"41","I know you all practically said ""no"", but I've already bought the hair dye and i'm gonna go back to black just in case. First impressions are most important and I don't want to turn someone off at the interview https://twitter.com/TreatYoBrain/status/1186885790137237505 …"
"42","After nine years of colored contacts and hair dye Neil finally had his natural coloring back."
"43","gays buying hair dye during a mental breakdown thinking it will fix their problems  pic.twitter.com/T0R960LlR9"
"44","Trying to pick a good hair dye like hmmmm which color will make my face look less horrendously deformed"
"45","for those asking for the results of the hair dye: here you are! i'm kinda digging it i hope it looks okay! p.s hope u all like the last pic lmfaooo pic.twitter.com/gbnkskfdiS"
