infoType,title,link,stars,totalRatings,price,weight,rank,description,brand,colors
base,"L'oreal Paris Hair Color Feria Multi-faceted Shimmering Permanent Coloring, Smokey Silver, 1 Count",https://www.amazon.com/Paris-Multi-faceted-Shimmering-Permanent-Coloring/dp/B07JFD7D32,3.8,"1,356",8.97,,"4,562","With L'Oreal Feria, what you see is the shimmer. Multi-Faceted shimmering color with 3X highlights delivers intensified, brilliant results. Inspired by fashion, Feria offers a twist on the traditional and gives edgy hair color - from bright red, platinum blonde, rose gold, metallic brown, to blue black hair color, these hair dye kits will transform your hair. Feria's prismatic color spectrum is custom-blended by L'Oreal master colorists for bold, head-turning shades - no appointment necessary. The Power Shimmer Conditioner seals and smooths. Won't wreck or ravage hair. Packaging may vary, what you receive may not be what is reflected on site.
				    ",L'oreal,"['Pure Diamond', 'Icy Blonde Ultra Cool Blonde', 'Bleach Blonding Extra Bleach Blonde', 'Starry Night', 'Espresso', 'Espresso Deeply Brown', 'Crushed Garnet', 'Downtown Denim', 'Brazilian Brown Bronzed Brown', 'Purple Smoke', 'Bronze Shimmer', 'Sparkling Amber', 'Dusty Mauve', 'Golden Sunset Dark Golden Blonde', 'Downtown Brown', 'Downtown Brown Hi-Lift Cool Brown', 'Intense Copper', 'Cherry', 'Platnium', 'Roast', 'Midnight Violet', 'Intense Deep Auburn', 'Red Velvet Intense Deep Auburn', 'Intense Medium Auburn', 'Ruby Rush Rich Auburn True Red', 'Gold', 'Smoke', 'Silver', 'Violet Noir', 'Violet Noir Intense Deep Violet', 'Violet Vixen Intense Medium Violet', 'Platinum']"
base,"Garnier Nutrisse Nourishing Hair Color Creme, 30 Darkest Brown (Sweet Cola)  (Packaging May Vary)",https://www.amazon.com/Garnier-Nutrisse-Nourishing-Darkest-Packaging/dp/B000GCVX8U,4.1,"2,151",5.52,,"5,494","Garnier Nutrisse is the only permanent hair color creme that nourishes while you color with avocado, olive, and shea oils. The nourishing color creme enriched with fruit oil concentrate, penetrates deep into hair fibers to nourish and condition your hair so it takes color better and holds it longer, root-to-tip. Garnier Nutrisse delivers rich, radiant, long-lasting hair color with 100% grey coverage. • Permanent, nourishing hair color creme with three fruit oils- avocado, olive, and shea • The only hair color creme with a separate ampoule of grape seed oil to start nourishing as you color • Rich, radiant, long-lasting color with 100 percent grey coverage • Available in 45 Nourishing Shades Always read the hair color instructions insert in the box. Store between 50° and 80° F. Questions? Garnier Nutrisse has expert color consultants to help you. Call: 1-800-4GARNIER (1-800-442-7643). IMPORTANT: Hair color can cause an allergic reaction. Do not use if you’ve already had a reaction to a hair color product or if scalp is sensitive, itchy or damaged. Tattoos may increase risk of an allergic reaction. Do skin allergy test 48 hours before each use of this product. Don’t use over compound henna or progressive color. Wait at least 14 days after bleach, relaxing or perm before use. Don’t use on children. This is a safety summary. Read all labeling and instructions completely.
				    	
					/nHaving trouble finding the right shade? Questions on how to apply your Nutrisse Hair Color product? Ask a Garnier Hair Color Expert./nIf you have a question about a Nutrisse Hair Color product, talk to one of our Customer Care representatives./nPhone: 1-877-297-5043/nMonday-Friday, 9:00 AM-5:30PM ET",Garnier,"['Black (Licorice)', 'Extra-Light Natural Blonde (Chamomile)', ' Blackest Black', 'Extra-Light Ash Blonde (White Chocolate)', 'Natural Blue Black', 'Soft Black (Black Tea)', 'Intense Blue Black', 'Darkest Brown (Sweet Cola)', 'Darkest Golden Brown', 'Darkest Berry Burgundy', 'Dark Brown (Dark Chocolate)', 'Dark Nude Brown', 'Bronze Brown', 'Soft Mahogany Dark Brown (Raspberry Truffle)', 'Deep Burgundy (Black Cherry)', 'Dark Golden Brown (Cocoa Bean)', 'Deep Chestnut Brown (Chocolate Chestnut)', 'Dark Reddish Brown', 'Dark Berry Burgundy', 'Medium Natural Brown (Truffle)', 'Medium Ash Brown (Cool Tea)', 'Medium Nude Brown', 'Medium Golden Brown (Chestnut)', 'Medium Gold Mahogany Brown (Chocolate Caramel)', 'Medium Reddish Brown (Sangria)', 'Light Natural Brown (Acorn)', 'Light Ash Brown (Mochaccino)', 'Light Nude Brown', 'Light Golden Brown (Brown Sugar)', 'Light Natural Copper', 'True Red (Pomegranate)', 'Dark Natural Blonde (Almond Creme)', 'Dark Beige Blonde (Sweet Latte)', 'Dark Golden Blonde (Honey Dip)', 'Medium Natural Blonde (Butternut)', 'Medium Buttery Blonde', 'Champagne Blonde (Champagne Fizz)', 'Light Natural Blonde (Macadamia)', 'Light Buttery Blonde', 'Light Golden Blonde (Honey Butter)', 'Jam 84, Medium Warm Blonde', 'Jam 32, Intense Berry Black', 'Golden Blonde', 'Jam 52, Medium Berry Red', 'Medium Natural Brown']"
base,"L'Oreal Paris Excellence Creme Permanent Hair Color, 4 Dark Brown, 1 Count",https://www.amazon.com/LOreal-Paris-Excellence-Creme-Color/dp/B004INIW1Y,4.1,930,5.33,8.2,"2,024","There's a reason it's called Excellence. Nothing protects or covers grays better*.  L’Oreal Excellence Crème’s Exclusive Triple Protection System seals, replenishes and conditions your hair for up to 8 weeks of protection. All that, and 100% gray hair coverage, even on stubborn grays.*compared to each leading competitor's top selling brand.
				    	
					/nHaving trouble finding the right shade? Questions on how to apply your L'Oreal Paris Hair Color product? Ask a L'Oreal Hair Color Expert./nIf you have a question about a L'Oreal Paris Hair Color product, talk to one of our L’Oreal Customer Care representatives./nPhone: 1-888-768-2914/nMonday-Friday, 9:00 AM-5:30PM ET",L'Oreal,"['Dark Brown', 'Dark Ash Brown', 'Dark Chocolate Brown', 'Dark3 count Chocolate Brown', 'Dark Golden Brown', 'Dark Ash Brown', 'Medium Brown', 'Mocha Ashe Brown', 'Medium Maple Brown', 'Medium Chestnut Brown', 'Medium Golden Brown', 'Medium Red Brown', 'Light Brown', 'Light Ash Brown', 'Light Chestnut Brown', 'Light Golden Brown', 'Light Red Brown', 'Light Reddish Brown', 'Golden Brown']"
base,"Revlon ColorSilk Beautiful Color, Soft Black [11] 1 ea (Pack of 3)",https://www.amazon.com/Revlon-ColorSilk-Beautiful-Color-Black/dp/B07DG84Z8R,4.3,932,8.04,13.6,"14,199","A gentler black with a hint of warm tones.
				    ",Revlon,[]
base,"Garnier Olia Bold Ammonia Free Permanent Hair Color (Packaging May Vary), 7.20 Dark Rose Quartz, Rose Hair Dye, 1 Count Kit",https://www.amazon.com/Garnier-Ammonia-Permanent-Packaging-Quartz/dp/B07KJQDVM4,3.7,"1,666",7.99,7.7,"14,180","From the manufacturer Size:1 Count  |  Color:7.20 Dark Rose Quartz Garnier Olia is unlike any other traditional, permanent hair color. Powered by a 60% oil blend formula with natural flower oils, Olia propels colorants deep into the hair, giving you vivid color results and 100% gray coverage. The oils help to reverse roughness and dullness without hair feeling weighed down. The non-drip formula has no ammonia, so it smells great as you apply. The end result? More brilliant, long-lasting color and hair that is hydrated, silky, looks full and up to 3x shinier than uncolored, unwashed hair. What's in the hair dye kit? A developer applicator, a colorant tube, after color conditioner, as well as a set of gloves and the instruction sheet. Packaging May Vary
				    ",Garnier,"['Black', 'Soft Black', 'Platinum Black', 'Darkest Brown', 'Darkest Platinum Brown', 'Darkest Red Rose', 'Dark Brown', 'Dark Platinum Brown', 'Dark Soft Mahogany', 'Dark Golden Brown', 'Dark Golden Mahogany', 'Dark Intense Auburn', 'Dark Garnet Red', 'Medium Brown', 'Medium Neutral Brown', 'Medium Royal Amethyst', 'Medium Golden Brown', '1/2.3 Lightest Golden Brown', 'Light Brown', 'Light Neutral Brown', 'Light Golden Brown', 'Light Natural Auburn', 'Light Intense Auburn', 'Dark Blonde', 'Dark Rose Quartz', 'Intense Fire Ruby', 'Medium Blonde', 'Medium Rose Gold', 'Medium Pearl Blonde', '1/2.1 Light Ash Blonde', 'Light Blonde', 'Light Pearl Blonde', 'Light Golden Blonde', 'Soft Black/Dark Brown', '1/2.1 Lightest Ash Blonde']"
base,"Garnier Nutrisse Nourishing Hair Color Creme, 30 Darkest Brown (Sweet Cola)  (Packaging May Vary)",https://www.amazon.com/Garnier-Nutrisse-Nourishing-Darkest-Packaging/dp/B000GCVX8U,4.1,"2,151",5.52,,"5,494","Garnier Nutrisse is the only permanent hair color creme that nourishes while you color with avocado, olive, and shea oils. The nourishing color creme enriched with fruit oil concentrate, penetrates deep into hair fibers to nourish and condition your hair so it takes color better and holds it longer, root-to-tip. Garnier Nutrisse delivers rich, radiant, long-lasting hair color with 100% grey coverage. • Permanent, nourishing hair color creme with three fruit oils- avocado, olive, and shea • The only hair color creme with a separate ampoule of grape seed oil to start nourishing as you color • Rich, radiant, long-lasting color with 100 percent grey coverage • Available in 45 Nourishing Shades Always read the hair color instructions insert in the box. Store between 50° and 80° F. Questions? Garnier Nutrisse has expert color consultants to help you. Call: 1-800-4GARNIER (1-800-442-7643). IMPORTANT: Hair color can cause an allergic reaction. Do not use if you’ve already had a reaction to a hair color product or if scalp is sensitive, itchy or damaged. Tattoos may increase risk of an allergic reaction. Do skin allergy test 48 hours before each use of this product. Don’t use over compound henna or progressive color. Wait at least 14 days after bleach, relaxing or perm before use. Don’t use on children. This is a safety summary. Read all labeling and instructions completely.
				    	
					/nHaving trouble finding the right shade? Questions on how to apply your Nutrisse Hair Color product? Ask a Garnier Hair Color Expert./nIf you have a question about a Nutrisse Hair Color product, talk to one of our Customer Care representatives./nPhone: 1-877-297-5043/nMonday-Friday, 9:00 AM-5:30PM ET",Garnier,"['Black (Licorice)', 'Extra-Light Natural Blonde (Chamomile)', ' Blackest Black', 'Extra-Light Ash Blonde (White Chocolate)', 'Natural Blue Black', 'Soft Black (Black Tea)', 'Intense Blue Black', 'Darkest Brown (Sweet Cola)', 'Darkest Golden Brown', 'Darkest Berry Burgundy', 'Dark Brown (Dark Chocolate)', 'Dark Nude Brown', 'Bronze Brown', 'Soft Mahogany Dark Brown (Raspberry Truffle)', 'Deep Burgundy (Black Cherry)', 'Dark Golden Brown (Cocoa Bean)', 'Deep Chestnut Brown (Chocolate Chestnut)', 'Dark Reddish Brown', 'Dark Berry Burgundy', 'Medium Natural Brown (Truffle)', 'Medium Ash Brown (Cool Tea)', 'Medium Nude Brown', 'Medium Golden Brown (Chestnut)', 'Medium Gold Mahogany Brown (Chocolate Caramel)', 'Medium Reddish Brown (Sangria)', 'Light Natural Brown (Acorn)', 'Light Ash Brown (Mochaccino)', 'Light Nude Brown', 'Light Golden Brown (Brown Sugar)', 'Light Natural Copper', 'True Red (Pomegranate)', 'Dark Natural Blonde (Almond Creme)', 'Dark Beige Blonde (Sweet Latte)', 'Dark Golden Blonde (Honey Dip)', 'Medium Natural Blonde (Butternut)', 'Medium Buttery Blonde', 'Champagne Blonde (Champagne Fizz)', 'Light Natural Blonde (Macadamia)', 'Light Buttery Blonde', 'Light Golden Blonde (Honey Butter)', 'Jam 84, Medium Warm Blonde', 'Jam 32, Intense Berry Black', 'Golden Blonde', 'Jam 52, Medium Berry Red', 'Medium Natural Brown']"
base,"Schwarzkopf Keratin Color Anti-Age Hair Color Cream, 6.0 Delicate Praline (Packaging May Vary)",https://www.amazon.com/Schwarzkopf-Keratin-Anti-Age-Delicate-Packaging/dp/B00TUM6QUC,4.1,326,9.97,2.08,"23,813","Specially formulated for mature hair, Keratin color uses Unique Collagen Care Complex and Skin Flattering Pigments to deliver younger, fuller looking hair in just 30 minutes. Keratin Coloration acts as a treatment to help repair highly processed, damaged hair with up to 80% less hair breakage. 20 intensive colors deliver 100% gray coverage with a low-odor coloring experience thanks to the Ammonia Control Technology.
				    ",Schwarzkopf,"['Cappuccino', 'Intense Cocoa', 'Berry Brown', 'Cashmere Brown', 'Delicate Praline', 'Light Golden Brown', 'Macadamia']"
base,"Schwarzkopf Color Ultime Hair Color Cream, 1.3 Black Cherry (Packaging May Vary)",https://www.amazon.com/Schwarzkopf-Color-Ultime-Cherry-Packaging/dp/B00TXSDBVK,4.2,219,9.97,2.08,"14,923","Experience sublime care for your hair formulated with Intensive Care Elixir with pearl essence. For shiny hair luxuriously soft to touch, available in 22 vibrant colors in high de­finition shades including Magnificent Blacks, Flaming Reds, Deep Brunettes, Iconic Blondes and NEW Glowing Coppers.
				    ",Schwarzkopf,"['Raven Black', 'Scarlet Black', 'Black Cherry', 'Sapphire Black', 'Espresso Black', 'Amethyst Black']"
base,"L'Oréal Paris Excellence Créme Permanent Hair Color, 5RB Medium Reddish Brown, 2 COUNT 100% Gray Coverage Hair Dye",https://www.amazon.com/LOreal-Paris-Excellence-Permanent-Reddish/dp/B07D9Q863C,4.3,66,10.78,,"13,414","L'Oreal Paris Excellence Creme Permanent Hair Color, 5rb Medium Reddish Brown, 2 Count
				    ",L'Oréal,"['Dark Mahogany Red', 'Dark Mahogany Red', 'Medium Reddish Brown', 'Light Auburn', 'light Auburn']"
base,"Arctic Fox Vegan and Cruelty-Free Semi-Permanent Hair Color Dye (8 Fl. Ounces, Ritual)",https://www.amazon.com/Arctic-Cruelty-Free-Semi-Permanent-Ounces-Ritual/dp/B07PXDM2TG,4.1,27,18.99,,"15,984",,Arctic,[]
