"Category","Keyword","Web_Page_URL","Tweet_Website","Author_Name","Author_Web_Page_URL","Tweet_Timestamp","Tweet_Content","Tweet_Image_URL","Tweet_Video_URL","Tweet_Number_of_Likes","Tweet_Number_of_Retweets","Tweet_Number_of_Reviews","Commenter_Name","Commenter_Web_Page_URL","Comment_Timestamp","Comment","Comment_Number_of_Replies","Comment_Number_of_Retweets","Comment_Number_of_Likes","User_Name","User_Web_Page_URL","User_Timestamp","User_Content","User_Number_of_Replies","User_Number_of_Retweets","User_Number_of_Likes"
"Top","hair color highlights","https://twitter.com/search?q=hair%20color%20highlights&src=typd","https://twitter.com/777hawaiianelvi/status/1191770491855364096","Blow Dry Bar 21","https://twitter.com/777hawaiianelvi","1572975201","$29 and up on Blowouts (Additional Styling $10)$20 Haircuts $45 Olaplex, Deep Conditioning,Hair Color, And Balayage Highlights Appointments Call (818)220-6959  #hairdresser #olaplex #balayage  #treatment… https://www.instagram.com/p/B4fgVO8FzSl/?igshid=1neo1226cf24v …",,,,,,,,,,,,,,,,,,,
"Top","hair color highlights","https://twitter.com/search?q=hair%20color%20highlights&src=typd","https://twitter.com/RainbowSquidInk/status/1191778599931658240"," 🦑 🦑Spicy Mama Squid Curry 🦑 🦑","https://twitter.com/RainbowSquidInk","1572977135","DAT color composition....I know she has to have the uniform and the hair style but I think it would have been better off if they gave Mara her original hair color with MAYBE some highlights. As it is, the colors are blindingly bright. https://twitter.com/mjtannertwins/status/1191732075344384000 …",,,"6","1","2"," 🖤 🎃 👻Vera Boo 👻 🎃 🖤","https://twitter.com/BooHausArt","1572977841","She looks like one of those Jersey Shore girls from the early 2010s","0","0","0",,,,,,,
"Top","hair color highlights","https://twitter.com/search?q=hair%20color%20highlights&src=typd","https://twitter.com/RainbowSquidInk/status/1191778599931658240"," 🦑 🦑Spicy Mama Squid Curry 🦑 🦑","https://twitter.com/RainbowSquidInk","1572977135","DAT color composition....I know she has to have the uniform and the hair style but I think it would have been better off if they gave Mara her original hair color with MAYBE some highlights. As it is, the colors are blindingly bright. https://twitter.com/mjtannertwins/status/1191732075344384000 …",,,"6","1","2","Smackin 🦑Kraken","https://twitter.com/SmackinKraken","1572978537","Composition and color balance are for chumps, didn't you know? This is ANIMATION!","0","0","0",,,,,,,
"Top","hair color highlights","https://twitter.com/search?q=hair%20color%20highlights&src=typd","https://twitter.com/RanchHandjob/status/1191172658257440774","RED DEAD REDEMPTION 2 ON PC NOV 5TH BUY IT NOW","https://twitter.com/RanchHandjob","1572832667","I wanna do something with my hair color idk if i want full blond or just redo/add highlights. Or if i wanna go some unatural color like blue or pink",,,"5",,"2","hannah 🌻","https://twitter.com/ToastMcGoats33","1572836035","bald","0","0","2",,,,,,,
"Top","hair color highlights","https://twitter.com/search?q=hair%20color%20highlights&src=typd","https://twitter.com/RanchHandjob/status/1191172658257440774","RED DEAD REDEMPTION 2 ON PC NOV 5TH BUY IT NOW","https://twitter.com/RanchHandjob","1572832667","I wanna do something with my hair color idk if i want full blond or just redo/add highlights. Or if i wanna go some unatural color like blue or pink",,,"5",,"2","OFFICIAL GOBLIN OF THE YEAR","https://twitter.com/MikaChanGalaxy","1572832824","Go grey. But like not all grey. Be a boomer","1","0","1","RED DEAD REDEMPTION 2 ON PC NOV 5TH BUY IT NOW","https://twitter.com/RanchHandjob","1572832863","My friends little brother asked if i was goin grey after i got the first highlights sndhsgshj",,,
"Top","hair color highlights","https://twitter.com/search?q=hair%20color%20highlights&src=typd","https://twitter.com/ColorUbu/status/1191757187376459777","UbU Color Salon","https://twitter.com/ColorUbu","1572972029","A Full Head Of Baby-lights Babylights are delicate highlights created using a very fine hair color technique to mimic the subtle, dimensional hair color seen on children's hair. ... Babylights are low-maintenance:… https://www.instagram.com/p/B4faPsVpEsG/?igshid=16tymzzcjc9lv …",,,,,,,,,,,,,,,,,,,
"Top","hair color highlights","https://twitter.com/search?q=hair%20color%20highlights&src=typd","https://twitter.com/btstarplanet/status/1190769267500834816"," ✨STARZZAKIITTEN ✨","https://twitter.com/btstarplanet","1572736491","Do you want Terry to dye his hair color or just his natural hair color? if yes dye his hair  what color what would it be also full hair or have highlights?",,,"2",,"1","Adam","https://twitter.com/IRLWithAdam","1572740056","Pink :D","1","0","1"," ✨STARZZAKIITTEN ✨","https://twitter.com/btstarplanet","1572812604","gwayeon GWAYEONNNNN!!!",,,"1"
"Top","hair color highlights","https://twitter.com/search?q=hair%20color%20highlights&src=typd","https://twitter.com/anncblythc/status/1191532309188616193","macie with an ie ❀ awae spoilers","https://twitter.com/anncblythc","1572918414","this is my hair color. should i get highlights y’all let me know PLEASE pic.twitter.com/SeWIeqmVkX","https://pbs.twimg.com/media/EIksUYnX0AAs74a.jpghttps://pbs.twimg.com/media/EIksUYhXsAElTgi.jpghttps://pbs.twimg.com/media/EIksUYyWsAIFKgX.jpg",,"1",,"1","macie with an ie ❀ awae spoilers","https://twitter.com/anncblythc","1572918459","and my hair is rly uneven tehe i cut it by myself in my bathroom a few weeks ago LMAO","0","0","0",,,,,,,
"Top","hair color highlights","https://twitter.com/search?q=hair%20color%20highlights&src=typd","https://twitter.com/HuskyViolet/status/1191491094456000512","Violet Husky","https://twitter.com/HuskyViolet","1572908588","fursona:Violet the Husky Traditional color :Black and whiteHair color: black purple blue highlightsEye color: purpleMood: kind, fun, honest, funny and cute Hobbies: drawing, video games, YouTube pic.twitter.com/kB2p6XQTNX","https://pbs.twimg.com/media/EIkG1g4XkAAeSRE.jpg",,,,,,,,,,,,,,,,,,
"Top","hair color highlights","https://twitter.com/search?q=hair%20color%20highlights&src=typd","https://twitter.com/stephanieshook2/status/1191428530459955200","Stephanie Shook","https://twitter.com/stephanieshook2","1572893671","Soft Balayage Highlights for a sun kissed, natural look. Dramatic or subtle, hair color can bring a new attitude and freshness to your hairstyle. Connect with me today to book your own fresh look. #friscohairstylist… https://www.instagram.com/p/B4dE0-JA8Lb/?igshid=1n9icf8b06xx3 …",,,,,,,,,,,,,,,,,,,
